식품명,에너지(kcal),탄수화물(g),단백질(g),지방(g),나트륨(mg)
돼지고기_등심(알등심살)_생것,145,0,22.9,5.13,45
돼지고기_앞다리(앞사태살)_생것,132,0,20.82,4.68,62
돼지 부산물_비장_생것,85,0,18,1,92
돼지 부산물_위(오소리감투)_생것,112,0,17.3,4.1,121
돼지 부산물_위(오소리감투)_삶은것,157,0.09,21.4,7.26,40
돼지 부산물_직장_생것,344,0,9.9,32.1,73
돼지 부산물_췌장_생것,154,0,20.7,7.1,85
돼지 부산물_간_생것,134,2.47,21.39,3.65,87
돼지 부산물_간_삶은것,165,3.76,26.02,4.4,49
돼지 부산물_소장(곱창)_생것,182,0,7.64,16.61,24
돼지고기_삼겹살(오돌삼겹)_생것,325,0,17.12,26.89,102
돼지고기_앞다리(항정살)_생것,307,0,17.98,24.52,50
돼지고기_앞다리(주걱살)_생것,144,0,20.49,6.13,41
돼지고기_등심(등심살)_생것,135,0,24.03,3.6,39
돼지고기_삼겹살_생것,372,0,13.9,33.31,56
돼지고기_갈비_생것,236,0,17.77,17.06,64
돼지고기_갈비_삶은것,296,0,26.51,19.54,45
돼지고기_갈비_구운것(팬),270,0,24.83,17.59,79
돼지고기_등심_생것,142,0,23.33,4.58,42
돼지고기_등심_삶은것,204,0,35.08,5.94,28
돼지고기_등심_구운것(팬),184,0,32.06,5.18,49
돼지고기_목심(목심살)_생것,227,0,17.21,16.36,51
돼지고기_목심(목심살)_삶은것,282,0,25.43,18.56,42
돼지고기_목심(목심살)_구운것(팬),264,0,24.06,17.23,65
돼지 부산물_허파_생것,85,0,14.08,2.72,153
돼지 부산물_허파_삶은것,99,0,16.6,3.1,81
돼지 부산물_머리고기_삶은것,363,0,17.52,30.67,84
메추리고기_생것,194,0.1,20.5,12.9,35
멧돼지고기_생것,249,0.5,18.8,19.8,45
멧돼지고기_앞다리_생것,191,0,21.5,10.7,55
소고기_수입산(미국산)_설도_구운것(석쇠),164,0,28.45,4.67,38
소고기_수입산(미국산)_갈비_구운것(오븐),400,0,22.57,33.7,65
소고기_수입산(미국산)_목심(목심살)_생것,268,0.97,16.98,21.31,67
소고기_수입산(미국산)_목심(목심살)_삶은것,359,0,26.37,27.26,64
